race_id,venue,date,race_no,bets,invest,actual,payout,hit,return,top_scen,phase1,theo_prob_actual,n_scenarios
4720260201030007,松阪,2026-02-03,7,6,600,5-7-6,78000,False,0,C_slow×A_kamashi×A_bante_diff,C_slow,0.0,6
4720260201030008,松阪,2026-02-03,8,6,600,5-3-6,12860,False,0,A_smooth×A_kamashi×A_bante_diff,A_smooth,0.0,6
4720260201030009,松阪,2026-02-03,9,6,600,6-1-7,258080,False,0,C_slow×A_kamashi×A_bante_diff,C_slow,0.0,6
4720260201030012,松阪,2026-02-03,12,14,1400,4-7-1,2350,False,0,C_slow×A_kamashi×B_maenokori,C_slow,0.0,24
2720260203020006,京王閣,2026-02-04,6,2,200,3-4-7,1320,False,0,C_slow×A_kamashi×A_bante_diff,C_slow,0.0,18
2720260203020007,京王閣,2026-02-04,7,6,600,5-2-3,12200,True,12200,B_chaos×A_kamashi×A_bante_diff,B_chaos,0.21758,6
2720260203020008,京王閣,2026-02-04,8,6,600,4-1-2,6850,False,0,C_slow×A_kamashi×A_bante_diff,C_slow,0.0,6
2720260203020009,京王閣,2026-02-04,9,6,600,2-5-4,12820,True,12820,C_slow×A_kamashi×A_bante_diff,C_slow,0.21053,6
2720260203020010,京王閣,2026-02-04,10,6,600,5-4-6,172860,False,0,C_slow×A_kamashi×A_bante_diff,C_slow,0.0,6
2720260203020011,京王閣,2026-02-04,11,6,600,3-5-6,38490,False,0,C_slow×A_kamashi×A_bante_diff,C_slow,0.0,6
2720260203020012,京王閣,2026-02-04,12,6,600,4-1-7,7110,False,0,A_smooth×B_back×A_bante_diff,A_smooth,0.0,6
3120260204010006,松戸,2026-02-04,6,6,600,5-2-7,1330,False,0,C_slow×B_back×A_bante_diff,C_slow,0.0,6
3120260204010007,松戸,2026-02-04,7,6,600,2-4-3,1700,True,1700,A_smooth×B_back×A_bante_diff,A_smooth,0.05857,6
3120260204010008,松戸,2026-02-04,8,6,600,5-7-1,81830,False,0,C_slow×B_back×A_bante_diff,C_slow,0.0,6
3120260204010009,松戸,2026-02-04,9,6,600,1-7-4,220,False,0,C_slow×B_back×A_bante_diff,C_slow,0.0,6
3120260204010010,松戸,2026-02-04,10,6,600,5-2-3,470,False,0,A_smooth×B_back×A_bante_diff,A_smooth,0.0,6
3120260204010011,松戸,2026-02-04,11,6,600,3-2-7,6030,False,0,C_slow×B_back×A_bante_diff,C_slow,0.0,6
3120260204010012,松戸,2026-02-04,12,6,600,4-5-7,4690,False,0,A_smooth×B_back×A_bante_diff,A_smooth,0.0,6
2720260203030005,京王閣,2026-02-05,5,6,600,1-5-4,1310,False,0,B_chaos×A_kamashi×A_bante_diff,B_chaos,0.0,6
2720260203030006,京王閣,2026-02-05,6,6,600,7-5-3,6960,True,6960,C_slow×A_kamashi×A_bante_diff,C_slow,0.07895,6
2720260203030007,京王閣,2026-02-05,7,6,600,4-2-1,8110,False,0,C_slow×A_kamashi×A_bante_diff,C_slow,0.0,6
2720260203030008,京王閣,2026-02-05,8,6,600,7-1-2,6670,False,0,C_slow×A_kamashi×A_bante_diff,C_slow,0.0,6
2720260203030009,京王閣,2026-02-05,9,6,600,3-5-2,3200,True,3200,C_slow×A_kamashi×A_bante_diff,C_slow,0.21053,6
2720260203030010,京王閣,2026-02-05,10,6,600,4-5-1,19590,True,19590,C_slow×A_kamashi×A_bante_diff,C_slow,0.17763,6
2720260203030012,京王閣,2026-02-05,12,6,600,1-4-3,340,False,0,C_slow×B_back×A_bante_diff,C_slow,0.0,6
3120260204020006,松戸,2026-02-05,6,6,600,5-7-4,2860,False,0,A_smooth×B_back×A_bante_diff,A_smooth,0.0,6
3120260204020007,松戸,2026-02-05,7,6,600,4-1-2,1780,False,0,A_smooth×B_back×A_bante_diff,A_smooth,0.0,6
3120260204020008,松戸,2026-02-05,8,6,600,1-2-4,3180,False,0,C_slow×B_back×A_bante_diff,C_slow,0.0,6
3120260204020009,松戸,2026-02-05,9,6,600,7-6-4,20010,False,0,A_smooth×B_back×A_bante_diff,A_smooth,0.0,6
3120260204020010,松戸,2026-02-05,10,6,600,4-5-1,17020,False,0,C_slow×B_back×A_bante_diff,C_slow,0.0,6
3120260204020011,松戸,2026-02-05,11,6,600,7-2-4,1780,False,0,C_slow×B_back×A_bante_diff,C_slow,0.0,6
3120260204020012,松戸,2026-02-05,12,6,600,2-6-4,8100,True,8100,A_smooth×B_back×A_bante_diff,A_smooth,0.13178,6
5320260205010001,奈良,2026-02-05,1,6,600,1-5-6,960,False,0,C_slow×B_back×A_bante_diff,C_slow,0.0,6
5320260205010002,奈良,2026-02-05,2,6,600,2-9-5,3720,True,3720,C_slow×B_back×A_bante_diff,C_slow,0.31579,6
5320260205010003,奈良,2026-02-05,3,6,600,1-9-3,2590,False,0,A_smooth×A_kamashi×A_bante_diff,A_smooth,0.0,6
5320260205010004,奈良,2026-02-05,4,6,600,1-4-7,35470,False,0,C_slow×B_back×A_bante_diff,C_slow,0.0,6
5320260205010005,奈良,2026-02-05,5,2,200,2-3-1,16030,False,0,C_slow×A_kamashi×A_bante_diff,C_slow,0.0,18
5320260205010006,奈良,2026-02-05,6,6,600,7-2-1,157380,False,0,C_slow×A_kamashi×A_bante_diff,C_slow,0.0,6
5320260205010007,奈良,2026-02-05,7,6,600,7-1-5,8810,False,0,C_slow×B_back×A_bante_diff,C_slow,0.0,6
5320260205010008,奈良,2026-02-05,8,6,600,9-5-3,15440,False,0,C_slow×B_back×A_bante_diff,C_slow,0.0,18
5320260205010009,奈良,2026-02-05,9,6,600,4-7-5,7850,False,0,C_slow×B_back×A_bante_diff,C_slow,0.0,6
5320260205010010,奈良,2026-02-05,10,6,600,1-7-2,1970,False,0,C_slow×A_kamashi×A_bante_diff,C_slow,0.0,6
5320260205010011,奈良,2026-02-05,11,6,600,5-7-9,1180,False,0,B_chaos×B_back×A_bante_diff,B_chaos,0.0,6
5320260205010012,奈良,2026-02-05,12,6,600,1-5-2,5590,False,0,C_slow×B_back×A_bante_diff,C_slow,0.0,6
3120260204030005,松戸,2026-02-06,5,6,600,4-1-3,340,False,0,A_smooth×B_back×A_bante_diff,A_smooth,0.0,6
3120260204030006,松戸,2026-02-06,6,6,600,5-4-3,1330,False,0,A_smooth×B_back×A_bante_diff,A_smooth,0.0,6
3120260204030008,松戸,2026-02-06,8,6,600,5-3-1,1440,False,0,A_smooth×B_back×A_bante_diff,A_smooth,0.0,6
3120260204030009,松戸,2026-02-06,9,6,600,7-4-3,4190,True,4190,C_slow×B_back×A_bante_diff,C_slow,0.21053,6
3120260204030010,松戸,2026-02-06,10,6,600,3-7-1,5900,False,0,A_smooth×B_back×A_bante_diff,A_smooth,0.0,6
3120260204030012,松戸,2026-02-06,12,6,600,3-6-7,26830,False,0,A_smooth×B_back×A_bante_diff,A_smooth,0.0,6
5320260205020001,奈良,2026-02-06,1,6,600,1-9-5,2560,False,0,C_slow×A_kamashi×A_bante_diff,C_slow,0.0,6
5320260205020002,奈良,2026-02-06,2,6,600,9-1-3,6650,False,0,C_slow×B_back×A_bante_diff,C_slow,0.0,6
5320260205020003,奈良,2026-02-06,3,6,600,9-3-4,1680,False,0,C_slow×B_back×A_bante_diff,C_slow,0.0,6
5320260205020004,奈良,2026-02-06,4,6,600,1-4-9,27260,False,0,C_slow×A_kamashi×A_bante_diff,C_slow,0.0,6
5320260205020005,奈良,2026-02-06,5,6,600,7-9-5,84250,False,0,A_smooth×A_kamashi×A_bante_diff,A_smooth,0.0,6
5320260205020006,奈良,2026-02-06,6,6,600,5-3-2,41730,False,0,C_slow×B_back×A_bante_diff,C_slow,0.0,6
5320260205020007,奈良,2026-02-06,7,6,600,7-9-2,23460,False,0,C_slow×A_kamashi×A_bante_diff,C_slow,0.0,6
5320260205020008,奈良,2026-02-06,8,6,600,4-9-2,28930,False,0,C_slow×B_back×A_bante_diff,C_slow,0.0,6
5320260205020009,奈良,2026-02-06,9,6,600,7-1-5,2200,False,0,C_slow×B_back×A_bante_diff,C_slow,0.0,6
5320260205020010,奈良,2026-02-06,10,6,600,9-2-1,16760,False,0,C_slow×A_kamashi×A_bante_diff,C_slow,0.0,6
5320260205020011,奈良,2026-02-06,11,6,600,7-2-9,18260,False,0,C_slow×B_back×A_bante_diff,C_slow,0.0,6
5320260205020012,奈良,2026-02-06,12,6,600,1-4-3,12770,False,0,C_slow×B_back×A_bante_diff,C_slow,0.0,6
4320260207010008,岐阜,2026-02-07,8,6,600,3-5-6,7180,False,0,B_chaos×A_kamashi×A_bante_diff,B_chaos,0.0,6
4320260207010009,岐阜,2026-02-07,9,6,600,1-4-2,4820,False,0,B_chaos×A_kamashi×A_bante_diff,B_chaos,0.0,6
4320260207010010,岐阜,2026-02-07,10,6,600,1-7-3,8240,False,0,C_slow×A_kamashi×A_bante_diff,C_slow,0.0,6
4320260207010011,岐阜,2026-02-07,11,6,600,1-7-2,3770,False,0,C_slow×A_kamashi×A_bante_diff,C_slow,0.0,6
4320260207010012,岐阜,2026-02-07,12,6,600,4-1-3,5040,False,0,C_slow×A_kamashi×A_bante_diff,C_slow,0.0,6
5320260205030001,奈良,2026-02-07,1,6,600,3-4-7,24030,False,0,C_slow×B_back×A_bante_diff,C_slow,0.0,6
5320260205030002,奈良,2026-02-07,2,6,600,8-1-3,17920,False,0,C_slow×B_back×A_bante_diff,C_slow,0.0,6
5320260205030003,奈良,2026-02-07,3,6,600,9-1-4,13080,True,13080,C_slow×B_back×A_bante_diff,C_slow,0.07895,6
5320260205030004,奈良,2026-02-07,4,6,600,7-4-9,99130,False,0,C_slow×B_back×A_bante_diff,C_slow,0.0,6
5320260205030005,奈良,2026-02-07,5,6,600,2-5-3,10090,False,0,C_slow×A_kamashi×A_bante_diff,C_slow,0.0,6
5320260205030006,奈良,2026-02-07,6,6,600,9-5-2,1580,False,0,C_slow×A_kamashi×A_bante_diff,C_slow,0.0,6
5320260205030007,奈良,2026-02-07,7,6,600,7-1-6,23510,False,0,C_slow×B_back×A_bante_diff,C_slow,0.0,6
5320260205030008,奈良,2026-02-07,8,6,600,5-1-7,6170,False,0,C_slow×A_kamashi×A_bante_diff,C_slow,0.0,6
5320260205030009,奈良,2026-02-07,9,6,600,1-5-8,7300,False,0,C_slow×B_back×A_bante_diff,C_slow,0.0,6
5320260205030010,奈良,2026-02-07,10,6,600,6-5-4,56810,False,0,C_slow×A_kamashi×A_bante_diff,C_slow,0.0,6
5320260205030011,奈良,2026-02-07,11,6,600,9-5-1,3110,False,0,C_slow×A_kamashi×A_bante_diff,C_slow,0.0,6
5320260205030012,奈良,2026-02-07,12,6,600,2-1-5,9440,False,0,C_slow×B_back×A_bante_diff,C_slow,0.0,6
8120260207010006,小倉,2026-02-07,6,14,1400,2-7-4,1400,False,0,C_slow×A_kamashi×A_bante_diff,C_slow,0.0,24
8120260207010007,小倉,2026-02-07,7,6,600,7-2-6,4240,False,0,B_chaos×A_kamashi×A_bante_diff,B_chaos,0.0,6
8120260207010008,小倉,2026-02-07,8,6,600,4-3-5,24860,False,0,C_slow×A_kamashi×A_bante_diff,C_slow,0.0,6
8120260207010009,小倉,2026-02-07,9,6,600,3-4-7,9410,False,0,C_slow×A_kamashi×A_bante_diff,C_slow,0.0,6
8120260207010010,小倉,2026-02-07,10,6,600,3-7-1,28390,True,28390,A_smooth×A_kamashi×A_bante_diff,A_smooth,0.05857,6
8120260207010011,小倉,2026-02-07,11,6,600,4-5-1,3990,False,0,C_slow×A_kamashi×A_bante_diff,C_slow,0.0,6
8120260207010012,小倉,2026-02-07,12,6,600,1-4-7,1120,False,0,C_slow×A_kamashi×A_bante_diff,C_slow,0.0,6
4320260207020008,岐阜,2026-02-08,8,6,600,1-5-4,12980,False,0,A_smooth×A_kamashi×A_bante_diff,A_smooth,0.0,6
4320260207020009,岐阜,2026-02-08,9,6,600,1-4-5,270,False,0,A_smooth×A_kamashi×A_bante_diff,A_smooth,0.0,6
4320260207020010,岐阜,2026-02-08,10,6,600,4-3-7,6870,False,0,C_slow×A_kamashi×A_bante_diff,C_slow,0.0,6
4320260207020011,岐阜,2026-02-08,11,6,600,3-5-7,760,False,0,C_slow×A_kamashi×A_bante_diff,C_slow,0.0,6
4320260207020012,岐阜,2026-02-08,12,6,600,7-4-1,1600,False,0,C_slow×A_kamashi×A_bante_diff,C_slow,0.0,6
5320260205040001,奈良,2026-02-08,1,6,600,6-1-5,620,False,0,B_chaos×A_kamashi×A_bante_diff,B_chaos,0.0,6
5320260205040002,奈良,2026-02-08,2,6,600,4-2-1,29170,False,0,C_slow×A_kamashi×A_bante_diff,C_slow,0.0,6
5320260205040003,奈良,2026-02-08,3,6,600,4-2-3,11120,False,0,A_smooth×A_kamashi×A_bante_diff,A_smooth,0.0,6
5320260205040004,奈良,2026-02-08,4,6,600,2-8-9,65260,False,0,C_slow×A_kamashi×A_bante_diff,C_slow,0.0,6
5320260205040005,奈良,2026-02-08,5,6,600,2-5-8,7260,False,0,C_slow×A_kamashi×A_bante_diff,C_slow,0.0,6
5320260205040006,奈良,2026-02-08,6,6,600,3-7-8,5740,True,5740,C_slow×A_kamashi×A_bante_diff,C_slow,0.31579,6
5320260205040007,奈良,2026-02-08,7,6,600,2-4-5,12250,True,12250,C_slow×B_back×A_bante_diff,C_slow,0.15789,6
5320260205040008,奈良,2026-02-08,8,6,600,2-4-9,2330,True,2330,C_slow×A_kamashi×A_bante_diff,C_slow,0.31579,6
5320260205040009,奈良,2026-02-08,9,6,600,8-2-7,5400,False,0,C_slow×B_back×A_bante_diff,C_slow,0.0,6
5320260205040010,奈良,2026-02-08,10,6,600,9-7-4,71820,False,0,C_slow×B_back×A_bante_diff,C_slow,0.0,6
5320260205040011,奈良,2026-02-08,11,6,600,7-4-3,26670,False,0,C_slow×A_kamashi×A_bante_diff,C_slow,0.0,6
5320260205040012,奈良,2026-02-08,12,6,600,9-2-8,26970,False,0,C_slow×B_back×A_bante_diff,C_slow,0.0,6
8120260207020006,小倉,2026-02-08,6,6,600,1-2-3,4800,False,0,C_slow×A_kamashi×A_bante_diff,C_slow,0.0,6
8120260207020007,小倉,2026-02-08,7,6,600,3-4-1,1030,False,0,C_slow×A_kamashi×A_bante_diff,C_slow,0.0,6
8120260207020008,小倉,2026-02-08,8,6,600,4-1-7,1610,True,1610,C_slow×A_kamashi×A_bante_diff,C_slow,0.31579,6
8120260207020009,小倉,2026-02-08,9,6,600,7-4-3,8090,False,0,C_slow×A_kamashi×A_bante_diff,C_slow,0.0,6
8120260207020010,小倉,2026-02-08,10,6,600,7-3-2,9800,False,0,C_slow×A_kamashi×A_bante_diff,C_slow,0.0,6
8120260207020011,小倉,2026-02-08,11,6,600,1-5-4,830,False,0,C_slow×A_kamashi×A_bante_diff,C_slow,0.0,6
8120260207020012,小倉,2026-02-08,12,6,600,1-5-6,36850,False,0,C_slow×A_kamashi×A_bante_diff,C_slow,0.0,6
2820260209010006,立川,2026-02-09,6,6,600,5-1-4,4780,False,0,C_slow×A_kamashi×A_bante_diff,C_slow,0.0,6
2820260209010008,立川,2026-02-09,8,6,600,5-3-2,2470,False,0,C_slow×A_kamashi×A_bante_diff,C_slow,0.0,6
2820260209010009,立川,2026-02-09,9,6,600,2-5-7,940,False,0,C_slow×A_kamashi×A_bante_diff,C_slow,0.0,6
2820260209010010,立川,2026-02-09,10,6,600,7-3-1,2920,True,2920,B_chaos×A_kamashi×A_bante_diff,B_chaos,0.30769,6
2820260209010011,立川,2026-02-09,11,6,600,5-2-4,2830,False,0,A_smooth×A_kamashi×A_bante_diff,A_smooth,0.0,6
2820260209010012,立川,2026-02-09,12,6,600,7-5-4,3860,False,0,B_chaos×A_kamashi×A_bante_diff,B_chaos,0.0,6
3520260209010008,平塚,2026-02-09,8,6,600,7-3-6,1040,False,0,A_smooth×A_kamashi×A_bante_diff,A_smooth,0.0,6
3520260209010009,平塚,2026-02-09,9,6,600,2-7-1,12140,False,0,C_slow×A_kamashi×A_bante_diff,C_slow,0.0,12
3520260209010010,平塚,2026-02-09,10,6,600,5-1-2,9240,False,0,A_smooth×A_kamashi×A_bante_diff,A_smooth,0.0,6
3520260209010011,平塚,2026-02-09,11,6,600,5-1-2,5210,False,0,C_slow×A_kamashi×A_bante_diff,C_slow,0.0,6
3520260209010012,平塚,2026-02-09,12,6,600,7-2-3,4500,False,0,A_smooth×A_kamashi×A_bante_diff,A_smooth,0.0,6
4320260207030006,岐阜,2026-02-09,6,6,600,5-2-1,14720,False,0,C_slow×A_kamashi×A_bante_diff,C_slow,0.0,6
4320260207030007,岐阜,2026-02-09,7,6,600,4-7-2,1100,False,0,B_chaos×A_kamashi×A_bante_diff,B_chaos,0.0,6
4320260207030008,岐阜,2026-02-09,8,6,600,3-5-7,1390,False,0,B_chaos×A_kamashi×A_bante_diff,B_chaos,0.0,6
4320260207030009,岐阜,2026-02-09,9,6,600,7-5-1,21960,False,0,B_chaos×A_kamashi×A_bante_diff,B_chaos,0.0,6
4320260207030012,岐阜,2026-02-09,12,6,600,1-5-6,20540,False,0,C_slow×A_kamashi×A_bante_diff,C_slow,0.0,6
8120260207030005,小倉,2026-02-09,5,6,600,1-5-3,1720,False,0,A_smooth×A_kamashi×A_bante_diff,A_smooth,0.0,6
8120260207030006,小倉,2026-02-09,6,6,600,3-7-2,890,False,0,B_chaos×A_kamashi×A_bante_diff,B_chaos,0.0,6
8120260207030007,小倉,2026-02-09,7,6,600,7-1-5,590,False,0,C_slow×A_kamashi×A_bante_diff,C_slow,0.0,6
8120260207030008,小倉,2026-02-09,8,6,600,5-2-1,4390,False,0,C_slow×A_kamashi×A_bante_diff,C_slow,0.0,6
8120260207030009,小倉,2026-02-09,9,6,600,6-2-1,8530,False,0,C_slow×A_kamashi×A_bante_diff,C_slow,0.0,6
8120260207030010,小倉,2026-02-09,10,6,600,1-4-7,510,False,0,C_slow×A_kamashi×A_bante_diff,C_slow,0.0,6
8120260207030012,小倉,2026-02-09,12,6,600,7-1-2,1270,False,0,C_slow×A_kamashi×A_bante_diff,C_slow,0.0,6
2820260209020006,立川,2026-02-10,6,6,600,4-1-2,5560,False,0,A_smooth×A_kamashi×A_bante_diff,A_smooth,0.0,6
2820260209020007,立川,2026-02-10,7,6,600,2-6-3,6170,False,0,A_smooth×A_kamashi×A_bante_diff,A_smooth,0.0,6
2820260209020008,立川,2026-02-10,8,6,600,5-3-2,11060,False,0,C_slow×A_kamashi×A_bante_diff,C_slow,0.0,6
2820260209020009,立川,2026-02-10,9,6,600,7-4-2,530,False,0,A_smooth×A_kamashi×A_bante_diff,A_smooth,0.0,6
2820260209020010,立川,2026-02-10,10,6,600,2-5-1,2050,True,2050,C_slow×A_kamashi×A_bante_diff,C_slow,0.31579,6
2820260209020011,立川,2026-02-10,11,6,600,4-2-5,1230,False,0,C_slow×A_kamashi×A_bante_diff,C_slow,0.0,6
2820260209020012,立川,2026-02-10,12,6,600,1-4-2,14180,False,0,A_smooth×A_kamashi×A_bante_diff,A_smooth,0.0,6
3520260209020008,平塚,2026-02-10,8,2,200,3-5-1,1070,False,0,A_smooth×A_kamashi×A_bante_diff,A_smooth,0.0,18
3520260209020009,平塚,2026-02-10,9,6,600,6-2-1,16140,False,0,C_slow×A_kamashi×A_bante_diff,C_slow,0.0,6
3520260209020010,平塚,2026-02-10,10,6,600,2-7-5,6380,False,0,A_smooth×A_kamashi×A_bante_diff,A_smooth,0.0,6
3520260209020011,平塚,2026-02-10,11,6,600,2-7-1,10030,False,0,A_smooth×A_kamashi×A_bante_diff,A_smooth,0.0,12
3520260209020012,平塚,2026-02-10,12,14,1400,7-1-5,1300,True,1300,B_chaos×A_kamashi×B_maenokori,B_chaos,0.00662,24
7420260210010008,高知,2026-02-10,8,6,600,7-2-3,2300,False,0,A_smooth×B_back×A_bante_diff,A_smooth,0.0,6
7420260210010009,高知,2026-02-10,9,6,600,1-7-3,710,False,0,B_chaos×B_back×A_bante_diff,B_chaos,0.0,6
7420260210010010,高知,2026-02-10,10,6,600,1-7-4,310,False,0,A_smooth×B_back×A_bante_diff,A_smooth,0.0,6
7420260210010011,高知,2026-02-10,11,6,600,3-1-4,12620,False,0,C_slow×B_back×A_bante_diff,C_slow,0.0,6
7420260210010012,高知,2026-02-10,12,6,600,1-5-6,8090,False,0,B_chaos×B_back×A_bante_diff,B_chaos,0.0,6
2820260209030005,立川,2026-02-11,5,6,600,2-6-5,1070,False,0,A_smooth×A_kamashi×A_bante_diff,A_smooth,0.0,6
2820260209030006,立川,2026-02-11,6,6,600,4-5-3,6160,False,0,C_slow×A_kamashi×A_bante_diff,C_slow,0.0,6
2820260209030007,立川,2026-02-11,7,6,600,4-1-7,8950,False,0,A_smooth×A_kamashi×A_bante_diff,A_smooth,0.0,6
2820260209030009,立川,2026-02-11,9,6,600,4-6-2,9940,False,0,C_slow×A_kamashi×A_bante_diff,C_slow,0.0,6
2820260209030010,立川,2026-02-11,10,6,600,5-7-1,16380,False,0,B_chaos×A_kamashi×A_bante_diff,B_chaos,0.0,6
2820260209030011,立川,2026-02-11,11,6,600,1-5-7,3570,False,0,C_slow×A_kamashi×A_bante_diff,C_slow,0.0,6
2820260209030012,立川,2026-02-11,12,6,600,1-5-4,3280,False,0,C_slow×A_kamashi×A_bante_diff,C_slow,0.0,6
3520260209030006,平塚,2026-02-11,6,6,600,5-2-3,9560,False,0,A_smooth×A_kamashi×A_bante_diff,A_smooth,0.0,6
3520260209030007,平塚,2026-02-11,7,6,600,2-7-4,42030,False,0,A_smooth×A_kamashi×A_bante_diff,A_smooth,0.0,6
