選手名,登録番号,卒業期,地区,ホームバンク,府県,脚質,生年月日,縁故選手,友人,練習仲間,練習グループ,師匠,弟子,好きな周長,好きな車番,好きな食べ物,嫌いな食べ物
芦澤　辰弘,14441,95期,関東,取手,茨城県,追,1988/6/29,芦澤 大輔(兄90期),-,芦澤　大輔（茨　城・90期）、小坂　丈（茨　城・121期）,-,芦澤　大輔（茨　城・90期）,-,400m,２・７,寿司､メロン､焼きそば､ラーメン,パクチー、セロリ
芦澤　大輔,14055,90期,関東,取手,茨城県,追,1982/4/9,芦澤 辰弘(弟95期),山中　貴雄（高　知・90期）,-,-,木村　泰丈（茨　城・65期）,小坂　丈（茨　城・121期）,400m,4,肉,ナスの漬け物
阿竹　智史,14105,90期,四国,小松島,徳島県,両,1982/4/15,-,-,小倉　竜二（徳　島・77期）、室井　健一（徳　島・69期）、田村　英輝（徳　島・78期）、滝山　実（徳　島・84期）、大久保直也（徳　島・85期）、山本　宏明（徳　島・83期）、佐竹　和也（徳　島・83期）,-,小倉　竜二（徳　島・77期）,-,-,8,-,-
安彦　統賀,15604,121期,関東,大宮,埼玉県,両,1999/1/16,-,東矢　圭吾（熊　本・121期）、岸田　剛（福　井・121期）、篠田　幸希（群　馬・123期）、松本　京太（静　岡・123期）、桑名　僚也（埼　玉・119期）、松岡　辰泰（熊　本・117期）,太田　真一（埼　玉・75期）、太田　龍希（埼　玉・117期）、荒川　達郎（埼　玉・123期）、川田　真也（埼　玉・125期）,-,太田　真一（埼　玉・75期）,-,500m,3,寿司,筍、レバー
阿部　英斗,15840,125期,九州,小倉,福岡県,逃,2004/5/23,-,岩井　芯（岐　阜・125期）、山崎　歩夢（福　島・125期）、中石　湊（北海道・125期）,園田　匠（福　岡・87期）、小川　勇介（福　岡・90期）、松尾信太郎（福　岡・92期）、市橋司優人（福　岡・103期）、嶋田　誠也（福　岡・109期）、岩谷　拓磨（福　岡・115期）、中川　聖大（福　岡・121期）、松本　定（福　岡・125期）,不動會,吉岡　稔真（福　岡・65期）,-,400m,1,資さんうどん,なし
安部　貴之,14208,92期,北日本,-,宮城県,追,1983/8/7,-,-,加美山隆行（宮　城・92期）、和田　圭（宮　城・92期）、早坂　秀悟（茨　城・90期）、竹山　陵太（宮　城・91期）、大内　達也（宮　城・72期）,-,相原　健樹（宮　城・51期）,-,400m,3,-,-
阿部　拓真,15035,107期,北日本,-,宮城県,両,1990/11/3,-,-,荻原　尚人（宮　城・89期）、櫻井　正孝（宮　城・100期）,-,荻原　尚人（宮　城・89期）,木村　佑来（宮　城・119期）,-,-,果物,-
阿部　大樹,14370,94期,関東,大宮,埼玉県,両,1989/2/7,-,山本　奨（岡　山・94期）,新井　剛央（埼　玉・86期）、大澤　雄大（埼　玉・89期）、岡　光良（埼　玉・94期）、高橋　泰裕（埼　玉・107期）、池田　勇人（埼　玉・90期）、菱沼　元樹（埼　玉・111期）、小玉　勇一（埼　玉・113期）,-,-,-,-,１・９,カツ丼・天丼,レバー・しゃこ
阿部　将大,15474,117期,九州,別府,大分県,逃,1996/6/14,-,-,山崎　翼（大　分・95期）、松田　直也（大　分・92期）、高橋　義秋（大　分・96期）、魚屋　周成（大　分・99期）、大西　貴晃（大　分・101期）、高橋綜一郎（大　分・119期）、高橋　優斗（大　分・121期）,-,山崎　翼（大　分・95期）,高橋　優斗（大　分・121期）,400m,２・９,焼肉,納豆
阿部　力也,14794,100期,北日本,-,宮城県,追,1988/3/22,-,-,太田　貴之（宮　城・88期）、安部　貴之（宮　城・92期）、菅田　壱道（宮　城・91期）、山崎　将幸（宮　城・92期）、會澤　龍（宮　城・105期）,-,高浜　裕一（宮　城・69期）,-,-,１・２・９,チーズ,貝
雨谷　一樹,14505,96期,関東,宇都宮,栃木県,両,1990/1/14,-,-,-,小坂敏之,飯嶋　則之（栃　木・81期）,-,-,1,すきやき,-
天田　裕輝,14143,91期,関東,前橋,群馬県,両,1985/4/12,-,-,今泉　薫（群　馬・89期）、石井　和明（群　馬・105期）,チームNo.１,菊池　秀樹（群　馬・59期）,-,-,1,そば,パクチー
荒井　崇博,13516,82期,九州,佐世保,長崎県,両,1978/4/3,-,-,-,-,原　司（佐　賀・70期）,橋本　瑠偉（栃　木・113期）,-,7,-,-
荒川　達郎,15696,123期,関東,大宮,埼玉県,逃,1999/6/30,-,熊崎　麻人（埼　玉・123期）、佐藤譲士郎（埼　玉・123期）、助川翔太郎（埼　玉・123期）、松本　京太（静　岡・123期）、吉田　晏生（埼　玉・123期）、岡本　翔（愛　媛・123期）,太田　真一（埼　玉・75期）、安彦　統賀（埼　玉・121期）、太田　龍希（埼　玉・117期）、川田　真也（埼　玉・125期）,-,太田　真一（埼　玉・75期）,-,400m,１・９,-,-
荒澤　貴史,13669,85期,北日本,函館,北海道,追,1978/10/17,-,-,菊地　圭尚（北海道・89期）,-,大橋　秀人（北海道・44期）,-,-,-,焼肉・すし,なす・レバー
安倍　大成,15609,121期,関東,大宮,埼玉県,逃,1998/10/30,-,比佐　宝太（福　島・121期）,-,-,大矢　崇弘（東　京・107期）,-,400m,3,いちご,-
飯田　憲司,14527,96期,南関東,静岡,静岡県,両,1983/4/3,-,-,-,富士川緑地公園,深澤　伸介（静　岡・76期）,-,-,１・３,焼き肉・珍味,野菜
飯田　裕次,14623,97期,九州,小倉,福岡県,追,1985/8/22,-,-,樫山　恭柄（福　岡・92期）、是永　幸寛（福　岡・94期）、松尾　透（福　岡・96期）,-,-,-,-,２・３,ラーメン・焼肉,酒
飯野　祐太,14052,90期,北日本,いわき平,福島県,両,1984/9/20,-,鈴木謙太郎（茨　城・90期）、小野　大介（福　島・91期）、岡田　哲夫（福　島・92期）、小酒　大司（福　島・94期）,前川　大輔（福　島・113期）、山田　祐太（福　島・113期）、井寺　亮太（長　崎・113期）、板垣　昴（北海道・115期）、宇佐見優介（福　島・115期）、高橋　晋也（福　島・115期）,-,平沼　由充（福　島・83期）,-,-,2,肉・大福,-
五十嵐　力,13852,87期,南関東,川崎,神奈川県,追,1979/1/17,-,-,勝瀬　卓也（神奈川・84期）、溝口　和人（神奈川・85期）、福田　知也（神奈川・88期）、大西　健士（神奈川・88期）、森川　剛（神奈川・89期）,-,五十嵐敬二（神奈川・42期）,-,-,-,-,-
猪狩　祐樹,14716,99期,北日本,いわき平,福島県,両,1987/7/2,-,-,-,-,鈴木　栄司（千　葉・50期）,-,-,1,ラーメン,セロリ
池田　憲昭,14104,90期,四国,高松,香川県,追,1982/4/26,-,-,蓮井　祐輝（香　川・93期）、原　誠宏（香　川・91期）、宮崎　康司（香　川・94期）、戸田　康平（香　川・101期）、森安　崇之（香　川・84期）、清水　邦章（香　川・68期）、吉田　周司（香　川・70期）,-,堀田　耕市（香　川・61期）,宮崎　康司（香　川・94期）、戸田　康平（香　川・101期）,-,1,焼肉・寿司,セロリ
池田　勇人,14066,90期,関東,大宮,埼玉県,追,1985/5/12,-,-,阿部　大樹（埼　玉・94期）、新井　剛央（埼　玉・86期）、大澤　雄大（埼　玉・89期）、岡　光良（埼　玉・94期）、高橋　泰裕（埼　玉・107期）、菱沼　元樹（埼　玉・111期）、小玉　勇一（埼　玉・113期）,-,黄金井　憲（埼　玉・54期）,-,-,7,すし・焼肉・カレー,-
池田　良,14184,91期,中国,広島,広島県,追,1986/1/9,-,-,-,-,桶谷　義文（広　島・50期）,-,-,2,-,-
池野　健太,15116,109期,近畿,-,兵庫県,逃,1992/1/6,-,佐伯　辰哉（広　島・109期）、小林　令（山　梨・109期）,-,-,澤田　義和（兵　庫・69期）,-,-,3,牛タン,きのこ
石川　裕二,14723,99期,関東,取手,茨城県,追,1984/4/5,-,-,木村　貴宏（茨　城・80期）、廣瀬　裕道（茨　城・71期）、平石　浩之（茨　城・87期）、石渡　正也（茨　城・87期）、芦澤　大輔（茨　城・90期）、芦澤　辰弘（茨　城・95期）、杉本　正隆（茨　城・96期）、野間　司（茨　城・94期）,-,木村　貴宏（茨　城・80期）,-,-,１・２,つぶ貝,カキ
石口　慶多,14949,103期,近畿,-,兵庫県,両,1988/12/22,-,-,鈴木　勘市（兵　庫・48期）,-,鈴木　勘市（兵　庫・48期）,末廣　快理（兵　庫・121期）,400m,２・３,猪鍋、鹿刺し,納豆
石毛　克幸,13628,84期,南関東,千葉,千葉県,追,1977/1/15,-,-,小林　稜武（栃　木・113期）,利根川グループ,小林　裕司（千　葉・71期）,小林　稜武（栃　木・113期）,-,1,-,-
石塚　慶一郎,15541,119期,近畿,和歌山,和歌山県,両,2002/1/19,石塚正浩（父56期・引退）石塚輪太郎（兄105期）,桑名　僚也（埼　玉・119期）、近藤　翔馬（愛　媛・119期）、田川　翔琉（熊　本・119期）、徳田　匠（京　都・119期）、中島　詩音（山　梨・119期）,石塚輪太郎（和歌山・105期）、日浦　崇道（和歌山・109期）、布居　翼（和歌山・109期）,フェニックス基地グループ,石塚輪太郎（和歌山・105期）,-,400m,5,焼肉、お寿司,お好み焼き
石塚　孝幸,14016,89期,南関東,川崎,神奈川県,追,1980/3/6,-,-,-,-,天笠　眞（神奈川・48期）,-,-,-,焼肉,-
石塚　輪太郎,15006,105期,近畿,和歌山,和歌山県,逃,1993/12/7,石塚 正浩(父56期・引退)石塚慶一郎(弟119期）,清水　裕友（山　口・105期）、下岡　優季（愛　知・105期）、高木　翔（岩　手・105期）、中島　将尊（東　京・105期）、渡邉　雄太（静　岡・105期）,日浦　崇道（和歌山・109期）、布居　翼（和歌山・109期）,フェニックス基地グループ,石塚　正浩（和歌山・56期）,石塚慶一郎（和歌山・119期）,333m,１・３・７,うなぎ、中華料理,-
石原　颯,15465,117期,四国,高松,香川県,逃,1999/12/4,-,戸邉　捺希（埼　玉・117期）、藤田　周磨（埼　玉・117期）、長谷部龍一（岐　阜・117期）、松本　一志（宮　崎・117期）、兼本　将太（熊　本・117期）、秋本耀太郎（栃　木・117期）、町田　太我（広　島・117期）,吉田　彰久（香　川・80期）、北野　佑汰（香　川・115期）、町田　太我（広　島・117期）,-,吉田　彰久（香　川・80期）,-,400m,3,焼肉,なす
石橋　慎太郎,13947,88期,南関東,静岡,静岡県,追,1983/2/1,-,櫻井　丈（静　岡・89期）、大森　慶一（北海道・88期）、牛田樹希斗（愛　知・119期）,鈴木　良太（静　岡・86期）、櫻井　丈（静　岡・89期）、日高　裕太（静　岡・121期）,鈴木一家,-,-,-,8,焼き肉,グリンピース・さといも
和泉　尚吾,15468,117期,四国,松山,愛媛県,両,1997/1/7,-,下野　義城（愛　媛・115期）、宗崎　世連（高　知・100期）,佐々木　豪（愛　媛・109期）、中岡　海（愛　媛・123期）,-,大森　績（愛　媛・59期）,-,400m,２・７,和菓子、寿司,辛い物、生野菜
伊勢崎　彰大,13410,81期,南関東,千葉,千葉県,追,1978/10/12,新田祐大,中村　浩士（千　葉・79期）、古川　孝行（千　葉・84期）、濱田　浩司（愛　媛・81期）、海老根恵太（千　葉・86期）、赤井　学（千　葉・77期）、太刀川一成（千　葉・100期）、武井　大介（千　葉・86期）、藤田　大輔（千　葉・91期）,-,-,滝澤　正光（千　葉・43期）,-,500m,２・３,寿司・蕎麦・焼肉,生エビ
磯島　成介,15322,115期,北日本,-,青森県,逃,1999/7/19,磯島康祐（105期）,阿部架惟都（宮　城・115期）、宮崎　大空（熊　本・115期）、鈴木　薫（東　京・115期）,-,-,磯島　康祐（青　森・105期）,-,400m,9,肉,-
磯田　旭,14506,96期,関東,宇都宮,栃木県,追,1989/11/5,-,幸田　望夢（栃　木・115期）、上川　直紀（栃　木・117期）、藤野　竜也（栃　木・117期）、橋本　瑠偉（栃　木・113期）、青木　美優（栃　木・106期）、土屋　珠里（大　阪・110期）、福田　滉（栃　木・115期）、星野　辰也（栃　木・95期）、中川　貴徳（栃　木・91期）、古川　尚耶（栃　木・92期）,眞杉　匠（栃　木・113期）、坂井　洋（栃　木・115期）、長島　大介（栃　木・96期）、岡田　泰地（栃　木・100期）、神山　拓弥（栃　木・91期）、金子　幸央（栃　木・101期）、雨谷　一樹（栃　木・96期）、中村　隆生（栃　木・117期）、江連　和洋（栃　木・76期）,-,黒田　充（栃　木・73期）,-,-,6,グラタン,ピクルス
板垣　昴,15329,115期,北日本,函館,北海道,逃,1992/5/2,-,幸田　望夢（栃　木・115期）、北野　佑汰（香　川・115期）、小原丈一郎（青　森・115期）,飯野　祐太（福　島・90期）、前川　大輔（福　島・113期）、井寺　亮太（長　崎・113期）、山田　祐太（福　島・113期）、宇佐見優介（福　島・115期）、高橋　晋也（福　島・115期）,-,飯野　祐太（福　島・90期）,-,333m,３・９,ピザ,マンゴー
市田　龍生都,15868,127期,近畿,福井,福井県,逃,2001/9/28,市田佳寿浩（76期・引退）,-,北川　紋部（福　井・78期）、小森　貴大（福　井・111期）、清水　剛志（福　井・103期）、内山　慧大（福　井・123期）、枠元　一葵（福　井・117期）,市田道場,市田佳寿浩（福　井・76期）,-,-,-,そば,きのこ
一戸　康宏,14863,101期,関東,大宮,埼玉県,両,1987/8/21,-,-,-,-,小沼　良（埼　玉・68期）,-,-,１・２・９,-,-
市橋　司優人,14955,103期,九州,小倉,福岡県,両,1992/6/30,-,-,小川　勇介（福　岡・90期）、永田　隼一（福　岡・95期）、松尾信太郎（福　岡・92期）、園田　匠（福　岡・87期）、嶋田　誠也（福　岡・109期）、岩谷　拓磨（福　岡・115期）,-,藤井　克衛（福　岡・57期）,-,400m,１・２・３・５・９,生肉,大根・バナナ
一丸　尚伍,15655,121期,九州,別府,大分県,逃,1992/1/4,-,近谷　涼（富　山・121期）,安東　宏高（大　分・90期）、甲斐　俊祐（大　分・121期）、高橋　優斗（大　分・121期）、長松　大祐（大　分・121期）,-,安東　宏高（大　分・90期）,-,-,1,ｱｲｽ､ﾁｮｺ､雪の宿､たまご焼き､ﾊﾝﾊﾞｰｸﾞ､ﾌﾟﾘﾝ,えび
五日市　誠,13982,89期,北日本,-,青森県,追,1984/7/2,-,-,小橋　明紀（青　森・73期）、小橋　秀幸（青　森・85期）,-,小橋　明紀（青　森・73期）,-,-,9,フルーツ,ナマコ
伊藤　旭,15475,117期,九州,熊本,熊本県,両,2000/5/8,-,小浦　凪（岐　阜・117期）、久田　裕也（徳　島・117期）、青柳　靖起（佐　賀・117期）、藤野　竜也（栃　木・117期）、小笠原　光（岩　手・117期）,松岡　辰泰（熊　本・117期）、松本秀之介（熊　本・117期）、田川　辰二（熊　本・72期）,-,田川　辰二（熊　本・72期）,-,333m,3,ホルモン,なし
伊藤　慶太郎,15041,107期,関東,大宮,埼玉県,逃,1993/11/23,伊藤 公人(父40期・引退),山岸　佳太（茨　城・107期）、高橋　泰裕（埼　玉・107期）、小林　史也（和歌山・107期）,伊藤　公人（埼　玉・40期）、峠　祐介（埼　玉・78期）、尾崎　剛（埼　玉・79期）、市倉　孝良（東　京・77期）、中村　淳（栃　木・69期）、山崎　充央（東　京・79期）、安部　達也（埼　玉・83期）,-,伊藤　公人（埼　玉・40期）,-,-,１・３・７,焼き肉（タン塩）、マグロ,無し
伊藤　勝太,14435,95期,中部,名古屋,愛知県,追,1988/4/30,-,上田　栄蔵（福　島・95期）、山崎　司（福　島・95期）,山崎　芳仁（福　島・88期）、山崎　司（福　島・95期）、本馬　鎌（福　島・109期）、北野　良栄（茨　城・95期）、西脇美唯奈（愛　知・120期）、纐纈　洸翔（愛　知・121期）,-,金古　将人（福　島・67期）,-,-,1,肉・和菓子,生魚
伊藤　信,14253,92期,近畿,岸和田,大阪府,逃,1983/10/28,-,佐藤　佑一（岩　手・92期）、戸田　洋平（岡　山・92期）、後藤　彰仁（岐　阜・92期）、佐藤　幸治（長　崎・92期）、片山　智晴（岡　山・92期）、山田　義彦（埼　玉・92期）,猪俣　康一（愛　知・99期）、中井　勇介（大　阪・100期）、柳原　司（大　阪・98期）、佐川　翔吾（大　阪・94期）,手嶋ｸﾞﾙｰﾌﾟ、淀川河川敷ｸﾞﾙｰﾌﾟ,-,-,-,１・２・６,コーヒー・パン,納豆・メロン
伊藤　成紀,14096,90期,近畿,-,大阪府,両,1982/7/5,-,-,丸山　繁一（兵　庫・59期）、柳原　司（大　阪・98期）、岡嶋　登（大　阪・99期）,ＫＣＳＣグループ,丸山　繁一（兵　庫・59期）,柳原　司（大　阪・98期）、岡嶋　登（大　阪・99期）,-,１・４,だし巻玉子,グリンピース・かす汁
伊藤　颯馬,15390,115期,九州,-,沖縄県,逃,1999/3/24,-,竹元　健竜（福　岡・115期）、南　蓮（和歌山・115期）、星野　洋輝（福　島・115期）、張野　幸聖（和歌山・115期）、小原丈一郎（青　森・115期）、佐々木悠葵（群　馬・115期）、松坂　侑亮（神奈川・115期）,仲松　勝太（沖　縄・96期）、ラモスレオ（沖　縄・113期）、照屋　将貴（沖　縄・111期）,仲松道場,仲松　勝太（沖　縄・96期）,-,333m,1,-,-
伊藤　大志,13747,86期,北日本,青森,青森県,追,1979/5/20,渋谷 錬(弟103期),-,佐藤　友香（青　森・110期）,-,葛西　新藏（青　森・33期）,佐藤　友香（青　森・110期）,333m,-,豆、オムライス,梅
伊東　翔貴,14800,100期,北日本,いわき平,福島県,逃,1990/9/10,-,古性　優作（大　阪・100期）、新井僚太郎（山　梨・100期）、箱田　優樹（青　森・98期）、坂本　周輝（青　森・100期）,-,-,小林　孝文（福　島・89期）,-,-,5,餃子、焼肉,-
伊藤　正樹,12669,71期,中部,名古屋,愛知県,追,1972/9/28,-,大薗　宏（茨　城・71期）,朝日　勇（愛　知・74期）、宮司　周郎（愛　知・82期）,-,釜田　和明（愛　知・52期）,-,-,3,焼肉・寿司,-
伊藤　裕貴,14831,100期,中部,四日市,三重県,両,1992/2/2,伊藤稔真(111期),桜井　雄太（愛　知・100期）、大洞　翔平（岐　阜・100期）,-,北勢グループのみなさん、Ｃ教場,佐久間重光（三　重・41期）,-,-,1,焼肉,しいたけ
伊東　佑晟,15816,125期,中部,松阪,三重県,逃,2002/9/12,-,中西　勇（福　岡・125期）、高野　信元（愛　知・125期）、福田　稔希（栃　木・125期）、志田愛希飛（富　山・125期）、岩元　叶馬（富　山・125期）,舛井　幹雄（三　重・71期）、高谷進太郎（三　重・85期）、東　鉄也（三　重・88期）、倉野隆太郎（三　重・91期）、皿屋　豊（三　重・111期）、真鍋　顕汰（三　重・121期）、竹野　百香（三　重・124期）、佐藤　大地（三　重・125期）、梅澤　忠秀（三　重・125期）,青山グループ,舛井　幹雄（三　重・71期）,-,400m,1,刺身、焼肉、甘い物,レバー
稲川　翔,14097,90期,近畿,-,大阪府,両,1985/2/20,-,-,-,-,北村　尚勝（大　阪・50期）,-,-,2,中華,バナナ・牛乳
稲垣　裕之,13790,86期,近畿,向日町,京都府,両,1977/7/28,-,-,-,-,八倉伊佐夫（京　都・42期）,山崎　光展（京　都・93期）,-,-,-,なし
稲毛　健太,14606,97期,近畿,和歌山,和歌山県,逃,1989/6/28,-,-,-,-,西野　卓也（和歌山・44期）,-,-,2,寿司,-
稲吉　悠大,14262,92期,九州,久留米,福岡県,追,1986/10/13,-,桑原　亮（福　岡・91期）,桑原　亮（福　岡・91期）、枝光　美奈（福　岡・124期）,-,中原　優（福　岡・44期）,枝光　美奈（福　岡・124期）,-,１・３,レバ刺,トマト
犬伏　湧也,15553,119期,四国,小松島,徳島県,逃,1995/7/22,小林峰夫,山崎　航（山　口・119期）、大槇　大介（岡　山・119期）、吉田　悟（熊　本・119期）、米嶋　恵介（岡　山・119期）,蒋野　翔太（徳　島・115期）、島川　将貴（徳　島・109期）,-,小倉　竜二（徳　島・77期）,-,400m,1,焼肉、寿司,-
井上　昌己,13815,86期,九州,佐世保,長崎県,追,1979/7/25,-,-,江口　晃正（長　崎・75期）、米嶋　賢二（長　崎・77期）、井手　健（長　崎・79期）、山口幸太郎（長　崎・99期）、西田　将士（長　崎・105期）、船倉　卓郎（長　崎・99期）、平尾　一晃（長　崎・111期）、山崎　賢人（長　崎・111期）,-,平尾　昌也（長　崎・58期）,平尾　一晃（長　崎・111期）,-,1,-,なし
今村　麟太郎,15198,111期,四国,高知,高知県,両,1996/2/14,-,藏本　徹二（広　島・111期）、藤原俊太郎（岡　山・111期）,篠原　龍馬（高　知・89期）、田尾　駿介（高　知・111期）,-,篠原　龍馬（高　知・89期）,-,-,2,ラーメン・パスタ,貝類
伊代野　貴照,14878,101期,近畿,奈良,奈良県,追,1980/10/29,-,萱島　大介（大　分・99期）,-,-,島野　敦識（兵　庫・74期）,-,-,-,-,-
岩井　芯,15814,125期,中部,大垣,岐阜県,逃,2004/10/16,-,志田愛希飛（富　山・125期）、福田　稔希（栃　木・125期）、阿部　英斗（福　岡・125期）、小山　峻汰（熊　本・125期）,-,-,児玉　利文（岐　阜・76期）,-,400m,3,焼き肉,トマト
岩谷　拓磨,15381,115期,九州,小倉,福岡県,逃,1997/4/5,-,浅見　隼（福　岡・115期）、鈴木　涼介（福　島・115期）、松坂　侑亮（神奈川・115期）,園田　匠（福　岡・87期）、小川　勇介（福　岡・90期）、松尾信太郎（福　岡・92期）、永田　隼一（福　岡・95期）、市橋司優人（福　岡・103期）、嶋田　誠也（福　岡・109期）,不動會,吉岡　稔真（福　岡・65期）,-,400m,1,焼肉,トマト
岩津　裕介,13880,87期,中国,玉野,岡山県,追,1982/1/7,-,岡村　潤（静　岡・86期）,-,-,片岡　克巳（岡　山・42期）,岩本　純（岡　山・94期）、戸伏　康夫（岡　山・96期）,-,-,寿司,-
岩本　和也,13045,76期,中部,富山,石川県,追,1975/5/23,-,小川　将人（愛　知・75期）,-,内灘バンクメンバー,飯田　太文（石　川・60期）,又多　風緑（石　川・122期）,-,１・２・４・５・６,おはぎ､炭酸水､淹れたてのコーヒー,-
岩本　俊介,14377,94期,南関東,千葉,千葉県,両,1984/4/13,-,内田　玄希（東　京・94期）、森　佑樹（岡　山・94期）、和田健太郎（千　葉・87期）、野口　裕史（千　葉・111期）,中村　浩士（千　葉・79期）、根田　空史（千　葉・94期）、原田　亮太（千　葉・115期）、田中　まい（千　葉・104期）、山本　紳貴（千　葉・107期）、石井　寛子（東　京・104期）、山本　天平（千　葉・125期）,中村道場,-,-,-,-,からあげ,-
上杉　嘉槻,15539,119期,近畿,福井,福井県,逃,1998/3/27,-,橋本　壮史（茨　城・119期）,脇本　雄太（福　井・94期）、脇本　勇希（福　井・115期）、小松原正登（福　井・117期）、岸田　剛（福　井・121期）、寺崎　浩平（福　井・117期）、寺崎　舞織（福　井・112期）,-,後藤　純平（福　井・78期）,-,333m,3,麺類,南瓜､茄子
上田　国広,14029,89期,中部,四日市,三重県,追,1983/7/30,上田 裕和(兄86期),-,鈴木　幸紀（三　重・78期）、古田　義明（三　重・79期）、上田　裕和（三　重・86期）,-,田中　邦輝（三　重・62期）,-,-,5,-,-
上田　尭弥,15296,113期,九州,熊本,熊本県,逃,1997/12/20,-,嘉永　泰斗（熊　本・113期）、上野　優太（熊　本・113期）、曽我　圭佑（熊　本・113期）、山川　奨太（熊　本・117期）,松岡　貴久（熊　本・90期）、野口　大誠（熊　本・105期）,-,堀　検正（熊　本・81期）,-,400m,2,焼肉,オクラ、とろろ
上田　裕和,13783,86期,中部,四日市,三重県,追,1981/2/20,上田 国広(弟89期),-,鈴木　幸紀（三　重・78期）、古田　義明（三　重・79期）、上田　国広（三　重・89期）,-,田中　邦輝（三　重・62期）,-,-,1,パスタ・しゃぶしゃぶ,セロリ
上野　雅彦,15552,119期,四国,高松,香川県,逃,2001/11/26,-,菅野　航基（宮　城・119期）、石田　拓真（愛　知・119期）、白井優太朗（広　島・119期）、中嶋　樹（大　阪・119期）、村瀬　大和（岐　阜・119期）,福島　武士（香　川・96期）、児玉慎一郎（香　川・76期）、福島　栄一（香　川・93期）、石原　颯（香　川・117期）、北野　佑汰（香　川・115期）,-,福島　武士（香　川・96期）,-,400m,5,焼肉、いちご,あさり
上野　優太,15297,113期,九州,熊本,熊本県,追,1997/1/7,-,橋本　瑠偉（栃　木・113期）、樋口　開土（東　京・113期）、ラモスレオ（沖　縄・113期）、嘉永　泰斗（熊　本・113期）,倉岡慎太郎（熊　本・59期）、嘉永　泰斗（熊　本・113期）、中本　匠栄（熊　本・97期）、大窪　輝之（熊　本・72期）、寺崎　祐樹（熊　本・97期）、森山　智徳（熊　本・98期）、兼本　将太（熊　本・117期）,甲佐グループ,倉岡慎太郎（熊　本・59期）,-,400m,２・９,ラーメン、ポテトサラダ,パクチー
植原　琢也,15244,113期,関東,大宮,埼玉県,逃,1994/6/3,-,黒沢　征治（埼　玉・113期）、森田　優弥（埼　玉・113期）,-,-,相川　永伍（埼　玉・95期）,-,333m,2,野菜,味の濃いもの
